id,points
TSPL02251832,-11
TSPL0125750,-12
TSPL0225861,-12
TSPL02251203,-13
TSPL02251370,-14
TSPL0225781,-17
TSPL0225973,-17
TSPL012537,-19
TSPL0125755,-21
TSPL02251885,-22
TSPL0125752,-24
TSPL0125315,-24
TSPL02251608,-27
TSPL0125613,-30
TSPL0125426,-34
TSPL02251604,-38
TSPL02251541,-39
TSPL02251759,-41
TSPL0225947,-47
TSPL0125424,52
TSPL0125618,38
TSPL0225804,36
TSPL0125420,33
TSPL0125661,31
TSPL0125504,31
TSPL0125562,25
TSPL0125194,24
TSPL02251378,24
TSPL02251267,20
TSPL0125249,16
TSPL02251814,16
TSPL0225981,15
TSPL0125527,14
TSPL0125630,13
TSPL02251874,13
TSPL0125702,12
TSPL0125635,12
TSPL0125421,11
TSPL02251013,10
TSPL0125691,9
TSPL0125648,9
TSPL02251457,9
TSPL02251188,8
TSPL02251334,8
TSPL0125585,7
TSPL02251557,7
TSPL0125557,5
TSPL0125535,1
TSPL0125418,1
TSPL0125711,0
TSPL02251711,0
TSPL02251713,-3
TSPL02251868,-3
TSPL02251575,-3
TSPL0225907,-4
TSPL0125436,-4
TSPL0225800,-6
TSPL02251930,-6
TSPL012574,-8
TSPL02251544,-9
TSPL02251632,-9
TSPL0125590,-9
TSPL0125614,-10
TSPL02251755,-11
TSPL02251870,-12
TSPL0125632,-15
TSPL0125175,-16
TSPL0125528,-17
TSPL0125452,-19
TSPL02251032,-20
TSPL0125649,-20
TSPL02251332,-24
TSPL02251219,-25
TSPL02251348,-26
TSPL02251073,-27
TSPL02251164,-29
TSPL0225780,-30
